Nombre,Simbolo,Precio,MarketCap,Volumen_24h
SingularityDAO,SDAO,0.01031,852983.04852983,0.0
Donkey (DONKEY_BSC_MEME),DONKEY,0.0008522,852271.71852272,0.0
Penpie,PNP,0.5651,851015.36851015,0.0
Shardeum,SHM,9.82e-05,849811.57849812,0.0
S&P Global Tokenized Stock (Ondo),SPGIon,439.9,847423.68847424,840.1909
Ternoa,CAPS,0.0005385,693071.05693071,0.0
Thala,THL,0.01408,690597.94690598,0.0
PepsiCo tokenized stock (xStock),PEPX,172.63,690559.16690559,114377662.51
Salesforce Tokenized Stock (Ondo),CRMon,192.09,690173.81690174,0.0
CharacterX,CAI,0.0408,688029.7768803,0.0
Super Champs,CHAMP,0.0007394,685870.4968587,0.0
Non-Playable Coin Solana,NPCS,0.0007068,685464.05685464,0.0
Coca-Cola tokenized stock (xStock),KOX,79.65,685069.27685069,56548709.86
LayerEdge,EDGEN,0.002362,685046.31685046,0.0
BEERCOIN,BEER,0.051242,683082.17683082,0.0
Housecoin,HOUSE,0.000681,680072.83680073,0.0
KARASOU,INTELLIQUE,0.8982,679644.06679644,0.0
Pepes Dog,ZEUS,0.081612,678335.65678336,0.0
Frodo the virtual samurai,FROG,0.0001355,677800.396778,0.0
Bitcoin Second Chance,BTC,0.03216,675431.18675431,0.0
MSTR2100,MSTR,0.02736,564985.47564985,0.0
DisclaimerCoin,DONT,0.054416,564224.35564224,0.0
BiCity AI Projects,BICITY,0.0001345,561528.98561529,0.0
Algorix,ALOR,0.04498,561370.65561371,0.0
Bad Idea AI,BAD,0.099046,559766.81559767,0.0
LABUBU SOL,LABUBU,0.000561,559760.94559761,0.0
Linde tokenized stock (xStock),LINX,449.32,559407.3559407,10.002619
Philip Morris tokenized stock (xStock),PMX,185.98,557959.4557959,674336.25
BarnBridge,BOND,0.07049,557638.19557638,0.0
Cherry AI,AIBOT,0.002512,556555.05556555,0.0
WeSendit,WSI,0.0006729,555636.16555636,0.0
Zero,ZER,0.03775,553263.78553264,0.0
Arcas,ARCAS,0.007962,552860.86552861,0.0
LIKE,LIKE,0.001651,546896.38546896,0.0
Sekuya Multiverse,SKYA,0.001353,545603.94545604,0.0
Azuro Protocol,AZUR,0.002233,448433.29448433,0.0
Abbott tokenized stock (xStock),ABTX,110.7,448341.32448341,61371554.38
CrowdStrike tokenized stock (xStock),CRWDX,397.89,445646.82445647,125212314.68
MasterBOT,BOT,0.0004455,445553.43445553,0.0
Honk,HONK,0.0004842,445445.52445446,0.0
REVOX,REX,0.0001631,444532.15444532,0.0
zkSwap Finance,ZF,0.000712,441307.44441307,0.0
Povel Durev,DUREV,0.004614,438347.45438347,0.0
OUTLAW Crypto Games,OUTLAW,0.0004403,438347.19438347,0.0
Datagram Network,DGRAM,0.0002094,437908.83437909,0.0
SGC,SGC,0.0002585,437745.51437746,0.0
Monavale,MONA,41.82,437278.55437279,136532.62
Waves Enterprise,WEST,0.001942,437105437105.0,0.0
VGX Token,VGX,0.0004767,437011.3437011,0.0
Naruto,NARUTO,0.053969,436629.19436629,0.0
Gata,GATA,0.003313,352084.49352084,0.0
StarHeroes,STAR,0.001606,350365.92350366,0.0
ASTROS,ASTROS,0.01371,349847.59349848,0.0
Emperor,EMPI,0.01204,349387.19349387,0.0
SafeBlast,BLAST,0.081988,349045.46349045,0.0
Whales Market,WHALES,0.01338,348355.07348355,0.0
Bomb Crypto (BNB),BCOIN,0.004382,346220.96346221,0.0
Tron Bull,TBULL,0.0003447,344723.53344724,0.0
BitMine Immersion Technologies Tokenized Stock (Ondo),BMNRon,20.69,343060.2834306,9886477.74
BLink,BLINK,0.00186,342901.87342902,0.0
JetTon Games,JETTON,0.0418,339223.06339223,0.0
PINO,PINO,0.0003423,338852.54338853,0.0
LSD,$LSD,0.0003373,337385.84337386,0.0
My Crypto Heroes,MCHC,0.01233,337299.08337299,0.0
Deutsche eMark,DEM,0.002123,336073.53336074,0.0
Red Kite,PKF,0.002461,282311.01282311,0.0
R0AR,1R0R,0.0006801,281444.28281444,0.0
STARSHIP,STARSHIP,0.01484,280697.28280697,0.0
Blockchain Brawlers,BRWL,0.0002797,279779.5527978,0.0
Garlicoin,GRLC,0.004061,279667.44279667,1262.99
TheStandard USD,USDS,0.9924,278835.95278836,0.0
LightLink,LL,0.003413,278796.6278797,0.0
Step Finance,STEP,0.001258,278711.08278711,0.0
neurahub,NEURA,0.003362,276920.54276921,0.0
Cashaa,CAS,0.0002758,275866.4275866,0.0
Netvrk,NETVR,0.002747,273492.43273492,0.0
$TRUST ME BROs by Virtuals,TRUST,0.0002715,270585.14270585,0.0
Acolyt,ACOLYT,0.0002756,269782.19269782,0.0
Assisterr AI,ASRR,0.01844,269644.8269645,0.0
Janitor,JANITOR,0.0002687,268766.47268766,0.0
Cortex,CTXC,0.000943,222524.33222524,0.0
PlotX,PLOT,0.003342,221674.85221675,0.0
Rabi,RABI,0.0004699,221350.0422135,0.0
Torum,XTM,0.001127,218781.58218782,0.0
XOCIETY,XO,0.0002906,218012.62218013,0.0
OneMillionDollars,OMD,0.0001708,217662217662.0,0.0
